description,tag,type
Resists temporal manipulation.,Invincible,2
Immune to universal threats.,Invincible,2
Regenerates from any injury.,None,0
Completely invincible.,regeneration,1
Regenerates from any injury.,regeneration,1
Cannot be killed by conventional means.,regeneration,1
Completely invincible.,regeneration,1
Resists temporal manipulation.,UniverseResist,3
Standard mortal durability.,Time-UniverseResist,5
Immune to universal threats.,regeneration,1
Regenerates from any injury.,Invincible,2
Cannot be killed by conventional means.,timeResist,4
Completely invincible.,regeneration,1
Cannot be killed by conventional means.,Time-UniverseResist,5
Resists temporal manipulation.,Time-UniverseResist,5
Regenerates from any injury.,None,0
Regenerates from any injury.,Invincible,2
Standard mortal durability.,timeResist,4
Regenerates from any injury.,regeneration,1
Standard mortal durability.,None,0
Resists temporal manipulation.,regeneration,1
Cannot be killed by conventional means.,regeneration,1
Regenerates from any injury.,timeResist,4
Resists temporal manipulation.,Invincible,2
Completely invincible.,None,0
Completely invincible.,regeneration,1
Resists temporal manipulation.,Invincible,2
Standard mortal durability.,Time-UniverseResist,5
Immune to universal threats.,Time-UniverseResist,5
Regenerates from any injury.,timeResist,4
Regenerates from any injury.,Time-UniverseResist,5
Regenerates from any injury.,Time-UniverseResist,5
Resists temporal manipulation.,Time-UniverseResist,5
Regenerates from any injury.,timeResist,4
Cannot be killed by conventional means.,regeneration,1
Immune to universal threats.,None,0
Immune to universal threats.,Invincible,2
Resists temporal manipulation.,None,0
Immune to universal threats.,Time-UniverseResist,5
Cannot be killed by conventional means.,timeResist,4
Completely invincible.,UniverseResist,3
Completely invincible.,Invincible,2
Cannot be killed by conventional means.,UniverseResist,3
Regenerates from any injury.,Invincible,2
Cannot be killed by conventional means.,None,0
Immune to universal threats.,Invincible,2
Completely invincible.,None,0
Resists temporal manipulation.,Time-UniverseResist,5
Completely invincible.,None,0
Cannot be killed by conventional means.,Invincible,2
Cannot be killed by conventional means.,Time-UniverseResist,5
Regenerates from any injury.,Invincible,2
Completely invincible.,UniverseResist,3
Regenerates from any injury.,timeResist,4
Regenerates from any injury.,None,0
Cannot be killed by conventional means.,UniverseResist,3
Regenerates from any injury.,regeneration,1
Regenerates from any injury.,None,0
Immune to universal threats.,None,0
Immune to universal threats.,UniverseResist,3
Cannot be killed by conventional means.,Invincible,2
Completely invincible.,regeneration,1
Immune to universal threats.,timeResist,4
Cannot be killed by conventional means.,timeResist,4
Cannot be killed by conventional means.,regeneration,1
Resists temporal manipulation.,timeResist,4
Resists temporal manipulation.,UniverseResist,3
Standard mortal durability.,Time-UniverseResist,5
Regenerates from any injury.,regeneration,1
Regenerates from any injury.,UniverseResist,3
Standard mortal durability.,timeResist,4
Immune to universal threats.,None,0
Regenerates from any injury.,Time-UniverseResist,5
Resists temporal manipulation.,None,0
Immune to universal threats.,None,0
Cannot be killed by conventional means.,timeResist,4
Regenerates from any injury.,None,0
Regenerates from any injury.,UniverseResist,3
Cannot be killed by conventional means.,Time-UniverseResist,5
Resists temporal manipulation.,Invincible,2
Regenerates from any injury.,None,0
Regenerates from any injury.,UniverseResist,3
Completely invincible.,timeResist,4
Standard mortal durability.,Time-UniverseResist,5
Immune to universal threats.,timeResist,4
Regenerates from any injury.,UniverseResist,3
Immune to universal threats.,None,0
Standard mortal durability.,Invincible,2
Cannot be killed by conventional means.,Time-UniverseResist,5
Completely invincible.,Invincible,2
Regenerates from any injury.,Invincible,2
Cannot be killed by conventional means.,Invincible,2
Resists temporal manipulation.,None,0
Cannot be killed by conventional means.,UniverseResist,3
Immune to universal threats.,UniverseResist,3
Standard mortal durability.,Time-UniverseResist,5
Cannot be killed by conventional means.,None,0
Completely invincible.,regeneration,1
Resists temporal manipulation.,Time-UniverseResist,5
Completely invincible.,None,0
Resists temporal manipulation.,Time-UniverseResist,5
Completely invincible.,None,0
Regenerates from any injury.,Time-UniverseResist,5
Standard mortal durability.,Invincible,2
Resists temporal manipulation.,timeResist,4
Resists temporal manipulation.,None,0
Regenerates from any injury.,UniverseResist,3
Regenerates from any injury.,Time-UniverseResist,5
Resists temporal manipulation.,Invincible,2
Cannot be killed by conventional means.,regeneration,1
Cannot be killed by conventional means.,regeneration,1
Standard mortal durability.,Time-UniverseResist,5
Standard mortal durability.,Invincible,2
Completely invincible.,timeResist,4
Immune to universal threats.,None,0
Regenerates from any injury.,timeResist,4
Completely invincible.,Invincible,2
Regenerates from any injury.,regeneration,1
Immune to universal threats.,Invincible,2
Completely invincible.,Invincible,2
Standard mortal durability.,regeneration,1
Immune to universal threats.,regeneration,1
Immune to universal threats.,UniverseResist,3
Cannot be killed by conventional means.,timeResist,4
Standard mortal durability.,None,0
Cannot be killed by conventional means.,UniverseResist,3
Regenerates from any injury.,timeResist,4
Immune to universal threats.,regeneration,1
Resists temporal manipulation.,Time-UniverseResist,5
Immune to universal threats.,Time-UniverseResist,5
Cannot be killed by conventional means.,timeResist,4
Regenerates from any injury.,None,0
Standard mortal durability.,regeneration,1
Cannot be killed by conventional means.,timeResist,4
Cannot be killed by conventional means.,timeResist,4
Resists temporal manipulation.,UniverseResist,3
Completely invincible.,None,0
Immune to universal threats.,Time-UniverseResist,5
Immune to universal threats.,None,0
Standard mortal durability.,Invincible,2
Standard mortal durability.,regeneration,1
Cannot be killed by conventional means.,Time-UniverseResist,5
Standard mortal durability.,None,0
Cannot be killed by conventional means.,regeneration,1
Resists temporal manipulation.,regeneration,1
Regenerates from any injury.,UniverseResist,3
Completely invincible.,UniverseResist,3
Standard mortal durability.,Invincible,2
Regenerates from any injury.,None,0
Regenerates from any injury.,Invincible,2
Regenerates from any injury.,timeResist,4
Resists temporal manipulation.,None,0
Cannot be killed by conventional means.,None,0
Immune to universal threats.,Invincible,2
Immune to universal threats.,Invincible,2
Immune to universal threats.,UniverseResist,3
Regenerates from any injury.,UniverseResist,3
Immune to universal threats.,None,0
Regenerates from any injury.,None,0
Completely invincible.,UniverseResist,3
Standard mortal durability.,None,0
Completely invincible.,Time-UniverseResist,5
Cannot be killed by conventional means.,Time-UniverseResist,5
Regenerates from any injury.,timeResist,4
Cannot be killed by conventional means.,UniverseResist,3
Immune to universal threats.,Invincible,2
Standard mortal durability.,UniverseResist,3
Completely invincible.,Time-UniverseResist,5
Resists temporal manipulation.,UniverseResist,3
Standard mortal durability.,None,0
Standard mortal durability.,regeneration,1
Resists temporal manipulation.,Invincible,2
Cannot be killed by conventional means.,timeResist,4
Cannot be killed by conventional means.,regeneration,1
Standard mortal durability.,regeneration,1
Standard mortal durability.,Time-UniverseResist,5
Resists temporal manipulation.,Invincible,2
Cannot be killed by conventional means.,timeResist,4
Standard mortal durability.,regeneration,1
Immune to universal threats.,Time-UniverseResist,5
Cannot be killed by conventional means.,timeResist,4
Resists temporal manipulation.,timeResist,4
Completely invincible.,None,0
Immune to universal threats.,timeResist,4
Regenerates from any injury.,Time-UniverseResist,5
Resists temporal manipulation.,None,0
Cannot be killed by conventional means.,Invincible,2
Immune to universal threats.,None,0
Resists temporal manipulation.,Invincible,2
Cannot be killed by conventional means.,None,0
Immune to universal threats.,Invincible,2
Immune to universal threats.,UniverseResist,3
Resists temporal manipulation.,Time-UniverseResist,5
Completely invincible.,Invincible,2
Resists temporal manipulation.,Invincible,2
Completely invincible.,Time-UniverseResist,5
Standard mortal durability.,regeneration,1
Completely invincible.,timeResist,4
Completely invincible.,UniverseResist,3
Resists temporal manipulation.,regeneration,1
Immune to universal threats.,Invincible,2
Regenerates from any injury.,Time-UniverseResist,5
Immune to universal threats.,Time-UniverseResist,5
Regenerates from any injury.,Invincible,2
Resists temporal manipulation.,regeneration,1
Resists temporal manipulation.,timeResist,4
Standard mortal durability.,UniverseResist,3
Cannot be killed by conventional means.,regeneration,1
Resists temporal manipulation.,None,0
Completely invincible.,regeneration,1
Cannot be killed by conventional means.,regeneration,1
Resists temporal manipulation.,regeneration,1
Standard mortal durability.,None,0
Regenerates from any injury.,UniverseResist,3
Immune to universal threats.,regeneration,1
Resists temporal manipulation.,UniverseResist,3
Immune to universal threats.,UniverseResist,3
Cannot be killed by conventional means.,timeResist,4
Resists temporal manipulation.,Invincible,2
Immune to universal threats.,regeneration,1
Resists temporal manipulation.,UniverseResist,3
Resists temporal manipulation.,timeResist,4
Regenerates from any injury.,Invincible,2
Cannot be killed by conventional means.,Time-UniverseResist,5
Standard mortal durability.,timeResist,4
Standard mortal durability.,timeResist,4
Resists temporal manipulation.,timeResist,4
Completely invincible.,timeResist,4
Cannot be killed by conventional means.,Time-UniverseResist,5
Standard mortal durability.,Time-UniverseResist,5
Completely invincible.,None,0
Cannot be killed by conventional means.,UniverseResist,3
Completely invincible.,None,0
Immune to universal threats.,Time-UniverseResist,5
Standard mortal durability.,regeneration,1
Completely invincible.,Time-UniverseResist,5
Resists temporal manipulation.,None,0
Immune to universal threats.,timeResist,4
Cannot be killed by conventional means.,Invincible,2
Resists temporal manipulation.,UniverseResist,3
Resists temporal manipulation.,regeneration,1
Completely invincible.,timeResist,4
Completely invincible.,timeResist,4
Completely invincible.,timeResist,4
Completely invincible.,Invincible,2
Immune to universal threats.,Invincible,2
Standard mortal durability.,None,0
Regenerates from any injury.,timeResist,4
Regenerates from any injury.,regeneration,1
Completely invincible.,regeneration,1
Regenerates from any injury.,timeResist,4
Standard mortal durability.,None,0
Cannot be killed by conventional means.,Invincible,2
Immune to universal threats.,timeResist,4
Completely invincible.,Invincible,2
Cannot be killed by conventional means.,None,0
Standard mortal durability.,None,0
Cannot be killed by conventional means.,None,0
Completely invincible.,None,0
Immune to universal threats.,Invincible,2
Resists temporal manipulation.,UniverseResist,3
Regenerates from any injury.,Invincible,2
Immune to universal threats.,UniverseResist,3
Regenerates from any injury.,Time-UniverseResist,5
Completely invincible.,regeneration,1
Cannot be killed by conventional means.,Invincible,2
Cannot be killed by conventional means.,timeResist,4
Cannot be killed by conventional means.,Invincible,2
Completely invincible.,None,0
Resists temporal manipulation.,Invincible,2
Completely invincible.,None,0
Regenerates from any injury.,UniverseResist,3
Standard mortal durability.,regeneration,1
Standard mortal durability.,UniverseResist,3
Immune to universal threats.,regeneration,1
Resists temporal manipulation.,UniverseResist,3
Cannot be killed by conventional means.,None,0
Resists temporal manipulation.,None,0
Resists temporal manipulation.,regeneration,1
Standard mortal durability.,UniverseResist,3
Cannot be killed by conventional means.,timeResist,4
Cannot be killed by conventional means.,Invincible,2
Resists temporal manipulation.,timeResist,4
Immune to universal threats.,Time-UniverseResist,5
Cannot be killed by conventional means.,Invincible,2
Regenerates from any injury.,Time-UniverseResist,5
Regenerates from any injury.,None,0
Completely invincible.,Invincible,2
Cannot be killed by conventional means.,regeneration,1
Cannot be killed by conventional means.,None,0
Cannot be killed by conventional means.,regeneration,1
Standard mortal durability.,Time-UniverseResist,5
Standard mortal durability.,timeResist,4
Regenerates from any injury.,None,0
Completely invincible.,UniverseResist,3
Resists temporal manipulation.,None,0
Immune to universal threats.,regeneration,1
Regenerates from any injury.,regeneration,1
Resists temporal manipulation.,regeneration,1
Completely invincible.,Time-UniverseResist,5
Standard mortal durability.,None,0
Immune to universal threats.,None,0
Regenerates from any injury.,None,0
Immune to universal threats.,None,0
Completely invincible.,timeResist,4
Cannot be killed by conventional means.,Invincible,2
Immune to universal threats.,UniverseResist,3
Resists temporal manipulation.,regeneration,1
Cannot be killed by conventional means.,timeResist,4
Standard mortal durability.,Invincible,2
Regenerates from any injury.,regeneration,1
Completely invincible.,None,0
Completely invincible.,Invincible,2
Regenerates from any injury.,None,0
Standard mortal durability.,regeneration,1
Cannot be killed by conventional means.,regeneration,1
Completely invincible.,None,0
Standard mortal durability.,UniverseResist,3
Completely invincible.,timeResist,4
Regenerates from any injury.,timeResist,4
Resists temporal manipulation.,Invincible,2
Regenerates from any injury.,Time-UniverseResist,5
Standard mortal durability.,None,0
Completely invincible.,UniverseResist,3
Cannot be killed by conventional means.,Invincible,2
Standard mortal durability.,UniverseResist,3
Resists temporal manipulation.,timeResist,4
Cannot be killed by conventional means.,Invincible,2
Cannot be killed by conventional means.,Time-UniverseResist,5
Immune to universal threats.,None,0
Cannot be killed by conventional means.,regeneration,1
Completely invincible.,Invincible,2
Completely invincible.,Time-UniverseResist,5
Standard mortal durability.,None,0
Regenerates from any injury.,Time-UniverseResist,5
Completely invincible.,UniverseResist,3
Regenerates from any injury.,timeResist,4
Resists temporal manipulation.,Time-UniverseResist,5
Completely invincible.,Invincible,2
Cannot be killed by conventional means.,Invincible,2
Immune to universal threats.,regeneration,1
Immune to universal threats.,UniverseResist,3
Cannot be killed by conventional means.,Invincible,2
Cannot be killed by conventional means.,None,0
Cannot be killed by conventional means.,timeResist,4
Standard mortal durability.,regeneration,1
Immune to universal threats.,timeResist,4
Standard mortal durability.,Invincible,2
Immune to universal threats.,regeneration,1
Regenerates from any injury.,Invincible,2
Cannot be killed by conventional means.,timeResist,4
Regenerates from any injury.,regeneration,1
Standard mortal durability.,Invincible,2
Resists temporal manipulation.,timeResist,4
Standard mortal durability.,timeResist,4
Cannot be killed by conventional means.,regeneration,1
Immune to universal threats.,timeResist,4
Standard mortal durability.,None,0
Cannot be killed by conventional means.,Time-UniverseResist,5
Standard mortal durability.,None,0
Resists temporal manipulation.,regeneration,1
Regenerates from any injury.,UniverseResist,3
Cannot be killed by conventional means.,Time-UniverseResist,5
Immune to universal threats.,timeResist,4
Immune to universal threats.,Invincible,2
Immune to universal threats.,UniverseResist,3
Regenerates from any injury.,regeneration,1
Immune to universal threats.,regeneration,1
Immune to universal threats.,Invincible,2
Completely invincible.,timeResist,4
Completely invincible.,None,0
Completely invincible.,None,0
Completely invincible.,UniverseResist,3
Regenerates from any injury.,None,0
Standard mortal durability.,UniverseResist,3
Resists temporal manipulation.,UniverseResist,3
Immune to universal threats.,Time-UniverseResist,5
Completely invincible.,None,0
Immune to universal threats.,timeResist,4
Resists temporal manipulation.,Invincible,2
Cannot be killed by conventional means.,UniverseResist,3
Immune to universal threats.,timeResist,4
Completely invincible.,None,0
Standard mortal durability.,timeResist,4
Standard mortal durability.,None,0
Immune to universal threats.,UniverseResist,3
Completely invincible.,UniverseResist,3
Regenerates from any injury.,None,0
Resists temporal manipulation.,UniverseResist,3
Resists temporal manipulation.,regeneration,1
Completely invincible.,regeneration,1
Immune to universal threats.,Time-UniverseResist,5
Regenerates from any injury.,Time-UniverseResist,5
Resists temporal manipulation.,UniverseResist,3
Standard mortal durability.,regeneration,1
Immune to universal threats.,Invincible,2
Completely invincible.,None,0
Completely invincible.,UniverseResist,3
Cannot be killed by conventional means.,Invincible,2
Regenerates from any injury.,UniverseResist,3
Resists temporal manipulation.,UniverseResist,3
Immune to universal threats.,timeResist,4
Cannot be killed by conventional means.,timeResist,4
Regenerates from any injury.,timeResist,4
Standard mortal durability.,timeResist,4
Regenerates from any injury.,None,0
Completely invincible.,timeResist,4
Resists temporal manipulation.,regeneration,1
Standard mortal durability.,UniverseResist,3
Standard mortal durability.,regeneration,1
Standard mortal durability.,timeResist,4
Immune to universal threats.,regeneration,1
Completely invincible.,None,0
Cannot be killed by conventional means.,None,0
Cannot be killed by conventional means.,Invincible,2
Standard mortal durability.,UniverseResist,3
Cannot be killed by conventional means.,Time-UniverseResist,5
Resists temporal manipulation.,Time-UniverseResist,5
Standard mortal durability.,timeResist,4
Resists temporal manipulation.,UniverseResist,3
Resists temporal manipulation.,timeResist,4
Cannot be killed by conventional means.,regeneration,1
Cannot be killed by conventional means.,None,0
Regenerates from any injury.,regeneration,1
Completely invincible.,UniverseResist,3
Standard mortal durability.,Time-UniverseResist,5
Completely invincible.,UniverseResist,3
Immune to universal threats.,regeneration,1
Resists temporal manipulation.,UniverseResist,3
Completely invincible.,Invincible,2
Cannot be killed by conventional means.,None,0
Regenerates from any injury.,timeResist,4
Standard mortal durability.,timeResist,4
Completely invincible.,Time-UniverseResist,5
Completely invincible.,timeResist,4
Cannot be killed by conventional means.,Time-UniverseResist,5
Resists temporal manipulation.,None,0
Regenerates from any injury.,None,0
Regenerates from any injury.,None,0
Immune to universal threats.,None,0
Cannot be killed by conventional means.,UniverseResist,3
Standard mortal durability.,UniverseResist,3
Standard mortal durability.,None,0
Standard mortal durability.,UniverseResist,3
Completely invincible.,UniverseResist,3
Immune to universal threats.,None,0
Cannot be killed by conventional means.,UniverseResist,3
Regenerates from any injury.,None,0
Cannot be killed by conventional means.,UniverseResist,3
Immune to universal threats.,Time-UniverseResist,5
Resists temporal manipulation.,timeResist,4
Resists temporal manipulation.,Invincible,2
Immune to universal threats.,UniverseResist,3
Immune to universal threats.,Time-UniverseResist,5
Standard mortal durability.,regeneration,1
Cannot be killed by conventional means.,None,0
Completely invincible.,UniverseResist,3
Standard mortal durability.,Time-UniverseResist,5
Completely invincible.,timeResist,4
Cannot be killed by conventional means.,Invincible,2
Cannot be killed by conventional means.,None,0
Regenerates from any injury.,UniverseResist,3
Resists temporal manipulation.,regeneration,1
Regenerates from any injury.,timeResist,4
Completely invincible.,timeResist,4
Completely invincible.,Time-UniverseResist,5
Standard mortal durability.,regeneration,1
Regenerates from any injury.,timeResist,4
Standard mortal durability.,None,0
Standard mortal durability.,timeResist,4
Immune to universal threats.,UniverseResist,3
Resists temporal manipulation.,Invincible,2
Regenerates from any injury.,timeResist,4
Completely invincible.,Invincible,2
Immune to universal threats.,regeneration,1
Resists temporal manipulation.,timeResist,4
Resists temporal manipulation.,UniverseResist,3
Immune to universal threats.,Invincible,2
Completely invincible.,Invincible,2
Regenerates from any injury.,None,0
Regenerates from any injury.,UniverseResist,3
Completely invincible.,None,0
Resists temporal manipulation.,timeResist,4
Resists temporal manipulation.,Time-UniverseResist,5
Resists temporal manipulation.,Time-UniverseResist,5
Resists temporal manipulation.,regeneration,1
Standard mortal durability.,Time-UniverseResist,5
Cannot be killed by conventional means.,timeResist,4
Resists temporal manipulation.,Time-UniverseResist,5
Immune to universal threats.,timeResist,4
Resists temporal manipulation.,UniverseResist,3
Regenerates from any injury.,timeResist,4
Cannot be killed by conventional means.,Time-UniverseResist,5
Completely invincible.,None,0
Completely invincible.,None,0
Immune to universal threats.,regeneration,1
Resists temporal manipulation.,timeResist,4
Regenerates from any injury.,None,0
Standard mortal durability.,regeneration,1
Completely invincible.,timeResist,4
Regenerates from any injury.,Time-UniverseResist,5
Immune to universal threats.,UniverseResist,3
Immune to universal threats.,regeneration,1
Standard mortal durability.,regeneration,1
Standard mortal durability.,timeResist,4
Standard mortal durability.,Time-UniverseResist,5
Immune to universal threats.,Invincible,2
Completely invincible.,None,0
Regenerates from any injury.,timeResist,4
Regenerates from any injury.,Invincible,2
Resists temporal manipulation.,UniverseResist,3
Cannot be killed by conventional means.,Invincible,2
Cannot be killed by conventional means.,UniverseResist,3
Resists temporal manipulation.,Time-UniverseResist,5
Completely invincible.,Time-UniverseResist,5
Standard mortal durability.,Time-UniverseResist,5
Completely invincible.,Time-UniverseResist,5
Immune to universal threats.,Time-UniverseResist,5
Immune to universal threats.,regeneration,1
Cannot be killed by conventional means.,Time-UniverseResist,5
Resists temporal manipulation.,regeneration,1
Completely invincible.,UniverseResist,3
Completely invincible.,Invincible,2
Cannot be killed by conventional means.,Time-UniverseResist,5
Cannot be killed by conventional means.,Invincible,2
Immune to universal threats.,None,0
Cannot be killed by conventional means.,Time-UniverseResist,5
Cannot be killed by conventional means.,Invincible,2
Completely invincible.,Time-UniverseResist,5
Immune to universal threats.,UniverseResist,3
Completely invincible.,UniverseResist,3
Regenerates from any injury.,regeneration,1
Standard mortal durability.,UniverseResist,3
Standard mortal durability.,Time-UniverseResist,5
Cannot be killed by conventional means.,regeneration,1
Resists temporal manipulation.,timeResist,4
Standard mortal durability.,Invincible,2
Resists temporal manipulation.,Invincible,2
Immune to universal threats.,Invincible,2
Resists temporal manipulation.,regeneration,1
Immune to universal threats.,None,0
Cannot be killed by conventional means.,timeResist,4
Completely invincible.,Time-UniverseResist,5
Standard mortal durability.,Invincible,2
Immune to universal threats.,Time-UniverseResist,5
Completely invincible.,regeneration,1
Standard mortal durability.,None,0
Standard mortal durability.,regeneration,1
Immune to universal threats.,timeResist,4
Standard mortal durability.,UniverseResist,3
Immune to universal threats.,timeResist,4
Standard mortal durability.,Time-UniverseResist,5
Regenerates from any injury.,Invincible,2
Regenerates from any injury.,timeResist,4
Cannot be killed by conventional means.,None,0
Completely invincible.,UniverseResist,3
Completely invincible.,Time-UniverseResist,5
Completely invincible.,Time-UniverseResist,5
Immune to universal threats.,Invincible,2
Standard mortal durability.,None,0
Regenerates from any injury.,None,0
Standard mortal durability.,regeneration,1
Completely invincible.,Time-UniverseResist,5
Standard mortal durability.,Time-UniverseResist,5
Completely invincible.,Invincible,2
Immune to universal threats.,timeResist,4
Immune to universal threats.,None,0
Standard mortal durability.,Invincible,2
Resists temporal manipulation.,regeneration,1
Resists temporal manipulation.,Invincible,2
Cannot be killed by conventional means.,None,0
Completely invincible.,Time-UniverseResist,5
Cannot be killed by conventional means.,Invincible,2
Immune to universal threats.,Invincible,2
Immune to universal threats.,regeneration,1
Immune to universal threats.,Time-UniverseResist,5
Resists temporal manipulation.,timeResist,4
Standard mortal durability.,timeResist,4
Cannot be killed by conventional means.,regeneration,1
Regenerates from any injury.,UniverseResist,3
Completely invincible.,UniverseResist,3
Cannot be killed by conventional means.,timeResist,4
Immune to universal threats.,UniverseResist,3
Resists temporal manipulation.,timeResist,4
Resists temporal manipulation.,timeResist,4
Cannot be killed by conventional means.,regeneration,1
Standard mortal durability.,UniverseResist,3
Resists temporal manipulation.,timeResist,4
Resists temporal manipulation.,regeneration,1
Immune to universal threats.,None,0
Standard mortal durability.,Time-UniverseResist,5
Standard mortal durability.,UniverseResist,3
Completely invincible.,regeneration,1
Regenerates from any injury.,Invincible,2
Cannot be killed by conventional means.,Invincible,2
Immune to universal threats.,regeneration,1
Immune to universal threats.,Invincible,2
Cannot be killed by conventional means.,UniverseResist,3
Cannot be killed by conventional means.,timeResist,4
Resists temporal manipulation.,timeResist,4
Regenerates from any injury.,Time-UniverseResist,5
Completely invincible.,UniverseResist,3
Resists temporal manipulation.,Invincible,2
Standard mortal durability.,Time-UniverseResist,5
Standard mortal durability.,None,0
Cannot be killed by conventional means.,Time-UniverseResist,5
Regenerates from any injury.,None,0
Standard mortal durability.,Time-UniverseResist,5
Resists temporal manipulation.,None,0
Completely invincible.,None,0
Standard mortal durability.,UniverseResist,3
Regenerates from any injury.,Invincible,2
Regenerates from any injury.,regeneration,1
Cannot be killed by conventional means.,UniverseResist,3
Regenerates from any injury.,Time-UniverseResist,5
Resists temporal manipulation.,None,0
Completely invincible.,None,0
Immune to universal threats.,UniverseResist,3
Immune to universal threats.,None,0
Completely invincible.,Invincible,2
Completely invincible.,regeneration,1
Cannot be killed by conventional means.,None,0
Immune to universal threats.,regeneration,1
Immune to universal threats.,Time-UniverseResist,5
Completely invincible.,Invincible,2
Immune to universal threats.,Invincible,2
Cannot be killed by conventional means.,Time-UniverseResist,5
Regenerates from any injury.,regeneration,1
Resists temporal manipulation.,UniverseResist,3
Immune to universal threats.,UniverseResist,3
Immune to universal threats.,Time-UniverseResist,5
Standard mortal durability.,regeneration,1
Standard mortal durability.,timeResist,4
Cannot be killed by conventional means.,regeneration,1
Regenerates from any injury.,None,0
Resists temporal manipulation.,None,0
Regenerates from any injury.,Time-UniverseResist,5
Standard mortal durability.,regeneration,1
Standard mortal durability.,Invincible,2
Resists temporal manipulation.,None,0
Regenerates from any injury.,None,0
Immune to universal threats.,regeneration,1
Completely invincible.,Time-UniverseResist,5
Standard mortal durability.,regeneration,1
Resists temporal manipulation.,Invincible,2
Regenerates from any injury.,Invincible,2
Cannot be killed by conventional means.,Time-UniverseResist,5
Cannot be killed by conventional means.,Invincible,2
Standard mortal durability.,UniverseResist,3
Immune to universal threats.,Invincible,2
Completely invincible.,UniverseResist,3
Cannot be killed by conventional means.,Time-UniverseResist,5
Cannot be killed by conventional means.,UniverseResist,3
Cannot be killed by conventional means.,timeResist,4
Completely invincible.,Time-UniverseResist,5
Resists temporal manipulation.,timeResist,4
Standard mortal durability.,Time-UniverseResist,5
Standard mortal durability.,timeResist,4
Completely invincible.,regeneration,1
Cannot be killed by conventional means.,UniverseResist,3
Resists temporal manipulation.,Time-UniverseResist,5
Standard mortal durability.,Time-UniverseResist,5
Standard mortal durability.,Invincible,2
Standard mortal durability.,Invincible,2
Completely invincible.,Invincible,2
Cannot be killed by conventional means.,timeResist,4
Regenerates from any injury.,Time-UniverseResist,5
Cannot be killed by conventional means.,Time-UniverseResist,5
Cannot be killed by conventional means.,Time-UniverseResist,5
Standard mortal durability.,regeneration,1
Standard mortal durability.,timeResist,4
Regenerates from any injury.,regeneration,1
Resists temporal manipulation.,None,0
Regenerates from any injury.,regeneration,1
Standard mortal durability.,Time-UniverseResist,5
Resists temporal manipulation.,Time-UniverseResist,5
Cannot be killed by conventional means.,regeneration,1
Standard mortal durability.,regeneration,1
Cannot be killed by conventional means.,timeResist,4
Completely invincible.,None,0
Immune to universal threats.,Time-UniverseResist,5
Cannot be killed by conventional means.,timeResist,4
Standard mortal durability.,timeResist,4
Immune to universal threats.,None,0
Resists temporal manipulation.,regeneration,1
Cannot be killed by conventional means.,Invincible,2
Regenerates from any injury.,None,0
